Category	Value	Fon Kodu	Tarih
Hisse Senedi	6,49	GO3	2024-02-04
Kıymetli Madenler Cinsinden BYF	1,11	GO3	2024-02-04
Finansman Bonosu	3,58	GO3	2024-02-04
Mevduat (TL)	1,34	GO3	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	1,74	GO3	2024-02-04
Kamu Dış Borçlanma Araçları	58,33	FUB	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,04	FUB	2024-02-04
Özel Sektör Dış Borçlanma Araçları	33,22	FUB	2024-02-04
Hisse Senedi	1,81	FUB	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	4,16	FUB	2024-02-04
Takasbank Para Piyasası	2,44	FUB	2024-02-04
Yatırım Fonları Katılma Payları	76,56	ARM	2024-02-04
Borsa Yatırım Fonları Katılma Payları	0,01	ARM	2024-02-04
Yabancı Borsa Yatırım Fonları	8,95	ARM	2024-02-04
Gayrimenkul Yatırım Fonları Katılma Payları	1,3	ARM	2024-02-04
Takasbank Para Piyasası	3,96	ARM	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	2,62	ARM	2024-02-04
Özel Sektör Tahvili	3,52	ARM	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,08	ARM	2024-02-04
Kamu Dış Borçlanma Araçları	78,06	KID	2024-02-04
Takasbank Para Piyasası	1,16	KID	2024-02-04
Yatırım Fonları Katılma Payları	12,87	KID	2024-02-04
Özel Sektör Dış Borçlanma Araçları	7,91	KID	2024-02-04
Yabancı Hisse Senedi	95,35	AFV	2024-02-04
Takasbank Para Piyasası	1,46	AFV	2024-02-04
Diğer	4,14	AFV	2024-02-04
Özel Sektör Dış Borçlanma Araçları	44,08	KRT	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,02	KRT	2024-02-04
Kamu Dış Borçlanma Araçları	38,41	KRT	2024-02-04
Yabancı Kamu Borçlanma Araçları	1,02	KRT	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	16,47	KRT	2024-02-04
Hisse Senedi	80,18	ZDZ	2024-02-04
Borsa Yatırım Fonları Katılma Payları	0,15	ZDZ	2024-02-04
Vadeli İşlemler Nakit Teminatları	11,24	ZDZ	2024-02-04
Ters-Repo	0,47	ZDZ	2024-02-04
Yatırım Fonları Katılma Payları	7,97	ZDZ	2024-02-04
Döviz Cinsi Kamu İç Borçlanma Araçları	97,74	ANZ	2024-02-04
Diğer	0,27	ANZ	2024-02-04
Mevduat (Döviz)	1,99	ANZ	2024-02-04
Özel Sektör Dış Borçlanma Araçları	77,31	IUV	2024-02-04
Ters-Repo	0,51	IUV	2024-02-04
Kamu Dış Borçlanma Araçları	16,24	IUV	2024-02-04
Özel Sektör Yurt Dışı Kira Sertifikaları	5,94	IUV	2024-02-04
Yatırım Fonları Katılma Payları	91,19	DSP	2024-02-04
Mevduat (TL)	0,17	DSP	2024-02-04
Ters-Repo	4,94	DSP	2024-02-04
Takasbank Para Piyasası	0,62	DSP	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	3,08	DSP	2024-02-04
Kamu Kira Sertifikaları (Döviz)	41,4	KTT	2024-02-04
Diğer	9,49	KTT	2024-02-04
Yatırım Fonları Katılma Payları	31,47	KTT	2024-02-04
Özel Sektör Yurt Dışı Kira Sertifikaları	17,64	KTT	2024-02-04
Yabancı Hisse Senedi	65,36	GZY	2024-02-04
Özel Sektör Tahvili	1,84	GZY	2024-02-04
Hisse Senedi	22,19	GZY	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,43	GZY	2024-02-04
Takasbank Para Piyasası	7,18	GZY	2024-02-04
Yabancı Borsa Yatırım Fonları	71,87	GTY	2024-02-04
Mevduat (TL)	8,41	GTY	2024-02-04
Vadeli İşlemler Nakit Teminatları	19,72	GTY	2024-02-04
Döviz Cinsi Kamu İç Borçlanma Araçları	98,39	RPX	2024-02-04
Yatırım Fonları Katılma Payları	0,01	RPX	2024-02-04
Mevduat (Döviz)	1,59	RPX	2024-02-04
Diğer	0,01	RPX	2024-02-04
Kıymetli Madenler	90,31	RBA	2024-02-04
Özel Sektör Kira Sertifikaları	0,2	RBA	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları	9,28	RBA	2024-02-04
Katılma Hesabı (TL)	0,21	RBA	2024-02-04
Yatırım Fonları Katılma Payları	74,19	GZJ	2024-02-04
Devlet Tahvili	0,98	GZJ	2024-02-04
Yabancı Borsa Yatırım Fonları	13,07	GZJ	2024-02-04
Hisse Senedi	2,73	GZJ	2024-02-04
Kamu Dış Borçlanma Araçları	6,28	GZJ	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,76	GZJ	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları	57,1	TTA	2024-02-04
Hisse Senedi	0,36	TTA	2024-02-04
Kıymetli Madenler	24,04	TTA	2024-02-04
Ters-Repo	1,19	TTA	2024-02-04
Yabancı Borsa Yatırım Fonları	8,71	TTA	2024-02-04
Borsa Yatırım Fonları Katılma Payları	1,25	TTA	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,72	TTA	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Borçlanma Araçları	2,09	TTA	2024-02-04
Özel Sektör Dış Borçlanma Araçları	2,54	TTA	2024-02-04
Kıymetli Madenler	42,04	RPG	2024-02-04
Takasbank Para Piyasası	1,83	RPG	2024-02-04
Hisse Senedi	24,04	RPG	2024-02-04
Diğer	3,1	RPG	2024-02-04
Yatırım Fonları Katılma Payları	17,21	RPG	2024-02-04
Kamu Kira Sertifikaları (TL)	11,78	RPG	2024-02-04
Yabancı Borsa Yatırım Fonları	73,94	MJB	2024-02-04
Kıymetli Madenler Cinsinden BYF	1,67	MJB	2024-02-04
Yatırım Fonları Katılma Payları	24,39	MJB	2024-02-04
Yabancı Borsa Yatırım Fonları	77,85	GZV	2024-02-04
Mevduat (Döviz)	1,39	GZV	2024-02-04
Yatırım Fonları Katılma Payları	15,23	GZV	2024-02-04
Takasbank Para Piyasası	1,85	GZV	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,67	GZV	2024-02-04
Katılma Hesabı (Döviz)	56,95	PBK	2024-02-04
Yatırım Fonları Katılma Payları	0,26	PBK	2024-02-04
Özel Sektör Yurt Dışı Kira Sertifikaları	18,85	PBK	2024-02-04
Kamu Kira Sertifikaları (Döviz)	6,88	PBK	2024-02-04
Kamu Yurt Dışı Kira Sertifikaları	17,06	PBK	2024-02-04
Kıymetli Madenler	44,14	YKT	2024-02-04
Mevduat (TL)	0,02	YKT	2024-02-04
Devlet Tahvili	21,7	YKT	2024-02-04
Yatırım Fonları Katılma Payları	0,09	YKT	2024-02-04
Yabancı Borsa Yatırım Fonları	11,63	YKT	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,24	YKT	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları	7,83	YKT	2024-02-04
Diğer	1,55	YKT	2024-02-04
Mevduat (Altın)	7,6	YKT	2024-02-04
Borsa Yatırım Fonları Katılma Payları	2,25	YKT	2024-02-04
Yabancı Hisse Senedi	2,95	YKT	2024-02-04
Kıymetli Madenler	74,58	FIB	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,01	FIB	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Borçlanma Araçları	13,02	FIB	2024-02-04
Mevduat (TL)	0,98	FIB	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları	8,27	FIB	2024-02-04
Hisse Senedi	3,14	FIB	2024-02-04
Özel Sektör Dış Borçlanma Araçları	71,21	IDF	2024-02-04
Kamu Kira Sertifikaları (Döviz)	0,54	IDF	2024-02-04
Kamu Dış Borçlanma Araçları	27,15	IDF	2024-02-04
Ters-Repo	1,1	IDF	2024-02-04
Katılma Hesabı (Döviz)	47,95	ZP6	2024-02-04
Diğer	0,49	ZP6	2024-02-04
Kamu Yurt Dışı Kira Sertifikaları	36,67	ZP6	2024-02-04
Özel Sektör Dış Borçlanma Araçları	14,89	ZP6	2024-02-04
Kamu Dış Borçlanma Araçları	90,71	TPJ	2024-02-04
Takasbank Para Piyasası	0,27	TPJ	2024-02-04
Yatırım Fonları Katılma Payları	9,02	TPJ	2024-02-04
Yatırım Fonları Katılma Payları	78,22	KKH	2024-02-04
Finansman Bonosu	1,13	KKH	2024-02-04
Yabancı Borsa Yatırım Fonları	11,6	KKH	2024-02-04
Ters-Repo	1,91	KKH	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,49	KKH	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	2,22	KKH	2024-02-04
Gayrimenkul Yatırım Fonları Katılma Payları	2,43	KKH	2024-02-04
Kamu Dış Borçlanma Araçları	96,07	TPL	2024-02-04
Takasbank Para Piyasası	0,67	TPL	2024-02-04
Yatırım Fonları Katılma Payları	3,26	TPL	2024-02-04
Kıymetli Madenler	42,93	TCA	2024-02-04
Özel Sektör Kira Sertifikaları	0,23	TCA	2024-02-04
Kıymetli Madenler Cinsinden BYF	24,12	TCA	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	0,47	TCA	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları	21,1	TCA	2024-02-04
Yatırım Fonları Katılma Payları	0,65	TCA	2024-02-04
Diğer	10,5	TCA	2024-02-04
Kıymetli Madenler	59,32	OGD	2024-02-04
Kamu Kira Sertifikaları (TL)	0,49	OGD	2024-02-04
Yabancı Hisse Senedi	14,93	OGD	2024-02-04
Özel Sektör Kira Sertifikaları	2,2	OGD	2024-02-04
Hisse Senedi	13,26	OGD	2024-02-04
Döviz Cinsi Kamu İç Borçlanma Araçları	3,57	OGD	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları	6,23	OGD	2024-02-04
Özel Sektör Dış Borçlanma Araçları	54,86	PDF	2024-02-04
Katılma Hesabı (TL)	0,55	PDF	2024-02-04
Katılma Hesabı (Döviz)	23,04	PDF	2024-02-04
Kamu Yurt Dışı Kira Sertifikaları	4,5	PDF	2024-02-04
Yatırım Fonları Katılma Payları	9,92	PDF	2024-02-04
Devlet Tahvili	7,13	PDF	2024-02-04
Döviz Cinsi Kamu İç Borçlanma Araçları	84,98	AHN	2024-02-04
Takasbank Para Piyasası	2,42	AHN	2024-02-04
Yabancı Hisse Senedi	6,75	AHN	2024-02-04
Yatırım Fonları Katılma Payları	5,85	AHN	2024-02-04
Kıymetli Madenler	57,56	ICA	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,99	ICA	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları	18,39	ICA	2024-02-04
Takasbank Para Piyasası	1,01	ICA	2024-02-04
Hisse Senedi	17,39	ICA	2024-02-04
Borsa Yatırım Fonları Katılma Payları	4,66	ICA	2024-02-04
Özel Sektör Dış Borçlanma Araçları	63,31	FPZ	2024-02-04
Mevduat (TL)	0,01	FPZ	2024-02-04
Yatırım Fonları Katılma Payları	15,38	FPZ	2024-02-04
Takasbank Para Piyasası	0,04	FPZ	2024-02-04
Kamu Dış Borçlanma Araçları	12,15	FPZ	2024-02-04
Kamu Kira Sertifikaları (Döviz)	0,37	FPZ	2024-02-04
Yabancı Kamu Borçlanma Araçları	7,47	FPZ	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	1,27	FPZ	2024-02-04
Kıymetli Madenler	66,02	GTA	2024-02-04
Mevduat (Döviz)	0,27	GTA	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları	30,57	GTA	2024-02-04
Takasbank Para Piyasası	0,41	GTA	2024-02-04
Kıymetli Madenler Cinsinden BYF	2,09	GTA	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,64	GTA	2024-02-04
Kamu Yurt Dışı Kira Sertifikaları	77,76	ZPF	2024-02-04
Diğer	3,97	ZPF	2024-02-04
Özel Sektör Kira Sertifikaları	10,6	ZPF	2024-02-04
Özel Sektör Dış Borçlanma Araçları	7,67	ZPF	2024-02-04
Kıymetli Madenler	51,59	TUA	2024-02-04
Hisse Senedi	0,06	TUA	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları	31,82	TUA	2024-02-04
Katılma Hesabı (TL)	0,36	TUA	2024-02-04
Yatırım Fonları Katılma Payları	9,49	TUA	2024-02-04
Borsa Yatırım Fonları Katılma Payları	6,68	TUA	2024-02-04
Özel Sektör Dış Borçlanma Araçları	73,32	YPL	2024-02-04
Mevduat (TL)	0,1	YPL	2024-02-04
Kamu Dış Borçlanma Araçları	24,42	YPL	2024-02-04
Mevduat (Döviz)	2,16	YPL	2024-02-04
Özel Sektör Dış Borçlanma Araçları	55,3	GAS	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,28	GAS	2024-02-04
Kamu Dış Borçlanma Araçları	21,63	GAS	2024-02-04
Mevduat (Döviz)	3,76	GAS	2024-02-04
Yabancı Kamu Borçlanma Araçları	11,5	GAS	2024-02-04
Özel Sektör Yurt Dışı Kira Sertifikaları	7,53	GAS	2024-02-04
Hisse Senedi	38,99	NJF	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,23	NJF	2024-02-04
Kıymetli Madenler	18,46	NJF	2024-02-04
Kıymetli Madenler Cinsinden BYF	5,03	NJF	2024-02-04
Borsa Yatırım Fonları Katılma Payları	17,83	NJF	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları	5,83	NJF	2024-02-04
Takasbank Para Piyasası	11,63	NJF	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları	40,05	DBA	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Borçlanma Araçları	0,32	DBA	2024-02-04
Kıymetli Madenler	34,74	DBA	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,41	DBA	2024-02-04
Kıymetli Madenler Cinsinden BYF	7,76	DBA	2024-02-04
Mevduat (TL)	0,76	DBA	2024-02-04
Kamu Dış Borçlanma Araçları	6,03	DBA	2024-02-04
Finansman Bonosu	1,0	DBA	2024-02-04
Hisse Senedi	4,35	DBA	2024-02-04
Yatırım Fonları Katılma Payları	1,13	DBA	2024-02-04
Özel Sektör Dış Borçlanma Araçları	2,17	DBA	2024-02-04
Mevduat (Döviz)	1,28	DBA	2024-02-04
Hisse Senedi	26,8	OPL	2024-02-04
Özel Sektör Kira Sertifikaları	0,34	OPL	2024-02-04
Kamu Dış Borçlanma Araçları	23,29	OPL	2024-02-04
Özel Sektör Tahvili	0,35	OPL	2024-02-04
Finansman Bonosu	13,1	OPL	2024-02-04
Diğer	0,86	OPL	2024-02-04
Döviz Cinsi Kamu İç Borçlanma Araçları	12,12	OPL	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,3	OPL	2024-02-04
Kıymetli Madenler Cinsinden BYF	8,64	OPL	2024-02-04
Yatırım Fonları Katılma Payları	5,44	OPL	2024-02-04
Takasbank Para Piyasası	5,76	OPL	2024-02-04
Yabancı Hisse Senedi	67,28	RPC	2024-02-04
Takasbank Para Piyasası	0,3	RPC	2024-02-04
Hisse Senedi	24,04	RPC	2024-02-04
Yatırım Fonları Katılma Payları	1,16	RPC	2024-02-04
Diğer	7,22	RPC	2024-02-04
Hisse Senedi	44,34	ZBD	2024-02-04
Mevduat (TL)	5,29	ZBD	2024-02-04
Yatırım Fonları Katılma Payları	15,65	ZBD	2024-02-04
Vadeli İşlemler Nakit Teminatları	5,44	ZBD	2024-02-04
Ters-Repo	10,55	ZBD	2024-02-04
Özel Sektör Tahvili	8,36	ZBD	2024-02-04
Finansman Bonosu	10,38	ZBD	2024-02-04
Özel Sektör Yurt Dışı Kira Sertifikaları	52,29	KIS	2024-02-04
Katılma Hesabı (Döviz)	2,59	KIS	2024-02-04
Kamu Yurt Dışı Kira Sertifikaları	22,82	KIS	2024-02-04
Kamu Kira Sertifikaları (Döviz)	6,28	KIS	2024-02-04
Yatırım Fonları Katılma Payları	16,02	KIS	2024-02-04
Hisse Senedi	47,03	UP1	2024-02-04
Diğer	1,19	UP1	2024-02-04
Kıymetli Madenler	44,22	UP1	2024-02-04
Takasbank Para Piyasası	7,56	UP1	2024-02-04
Kıymetli Madenler	55,62	HBF	2024-02-04
Hisse Senedi	0,07	HBF	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Borçlanma Araçları	19,32	HBF	2024-02-04
Borsa Yatırım Fonları Katılma Payları	0,36	HBF	2024-02-04
Takasbank Para Piyasası	12,27	HBF	2024-02-04
Vadeli İşlemler Nakit Teminatları	4,14	HBF	2024-02-04
Yabancı Borsa Yatırım Fonları	8,22	HBF	2024-02-04
Yatırım Fonları Katılma Payları	92,17	TJI	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,03	TJI	2024-02-04
Yabancı Borsa Yatırım Fonları	4,96	TJI	2024-02-04
Takasbank Para Piyasası	2,84	TJI	2024-02-04
Kamu Dış Borçlanma Araçları	97,26	TJT	2024-02-04
Yatırım Fonları Katılma Payları	1,35	TJT	2024-02-04
Takasbank Para Piyasası	1,39	TJT	2024-02-04
Yabancı Hisse Senedi	64,32	TGR	2024-02-04
Takasbank Para Piyasası	0,24	TGR	2024-02-04
Hisse Senedi	35,44	TGR	2024-02-04
Mevduat (Döviz)	49,18	NBZ	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	0,05	NBZ	2024-02-04
Ters-Repo	31,12	NBZ	2024-02-04
Özel Sektör Dış Borçlanma Araçları	19,65	NBZ	2024-02-04
Özel Sektör Dış Borçlanma Araçları	63,59	ZPA	2024-02-04
Ters-Repo	1,84	ZPA	2024-02-04
Kamu Dış Borçlanma Araçları	18,03	ZPA	2024-02-04
Kamu Yurt Dışı Kira Sertifikaları	6,86	ZPA	2024-02-04
Mevduat (Döviz)	9,68	ZPA	2024-02-04
Kamu Dış Borçlanma Araçları	71,31	YVG	2024-02-04
Mevduat (TL)	0,09	YVG	2024-02-04
Özel Sektör Dış Borçlanma Araçları	21,85	YVG	2024-02-04
Mevduat (Döviz)	6,75	YVG	2024-02-04
Kıymetli Madenler	75,26	OJK	2024-02-04
Takasbank Para Piyasası	0,03	OJK	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları	13,72	OJK	2024-02-04
Mevduat (TL)	0,23	OJK	2024-02-04
Yabancı Hisse Senedi	6,13	OJK	2024-02-04
Hisse Senedi	1,41	OJK	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,22	OJK	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları	61,77	AFO	2024-02-04
Kamu Kira Sertifikaları (TL)	0,12	AFO	2024-02-04
Kıymetli Madenler	30,43	AFO	2024-02-04
Diğer	0,36	AFO	2024-02-04
Yabancı Hisse Senedi	4,55	AFO	2024-02-04
Katılma Hesabı (TL)	0,5	AFO	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Borçlanma Araçları	1,25	AFO	2024-02-04
Borsa Yatırım Fonları Katılma Payları	0,54	AFO	2024-02-04
Özel Sektör Kira Sertifikaları	0,6	AFO	2024-02-04
Yabancı Borsa Yatırım Fonları	89,99	HOY	2024-02-04
Takasbank Para Piyasası	0,64	HOY	2024-02-04
Özel Sektör Dış Borçlanma Araçları	5,87	HOY	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,94	HOY	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	2,56	HOY	2024-02-04
Finansman Bonosu	41,51	YPK	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,11	YPK	2024-02-04
Devlet Tahvili	15,42	YPK	2024-02-04
Takasbank Para Piyasası	0,18	YPK	2024-02-04
Mevduat (TL)	14,25	YPK	2024-02-04
Ters-Repo	0,27	YPK	2024-02-04
Özel Sektör Tahvili	9,95	YPK	2024-02-04
Yatırım Fonları Katılma Payları	1,99	YPK	2024-02-04
Varlığa Dayalı Menkul Kıymetler	9,84	YPK	2024-02-04
Hisse Senedi	2,79	YPK	2024-02-04
Özel Sektör Dış Borçlanma Araçları	3,69	YPK	2024-02-04
Yabancı Hisse Senedi	98,7	GBG	2024-02-04
Yatırım Fonları Katılma Payları	1,3	GBG	2024-02-04
Kamu Dış Borçlanma Araçları	67,95	EUZ	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,36	EUZ	2024-02-04
Mevduat (Döviz)	19,64	EUZ	2024-02-04
Döviz Cinsi Kamu İç Borçlanma Araçları	12,06	EUZ	2024-02-04
Kamu Dış Borçlanma Araçları	65,33	GAG	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,71	GAG	2024-02-04
Özel Sektör Dış Borçlanma Araçları	18,67	GAG	2024-02-04
Mevduat (Döviz)	15,29	GAG	2024-02-04
Kamu Dış Borçlanma Araçları	64,31	OLA	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,29	OLA	2024-02-04
Özel Sektör Dış Borçlanma Araçları	26,51	OLA	2024-02-04
Finansman Bonosu	7,89	OLA	2024-02-04
Döviz Cinsi Kamu İç Borçlanma Araçları	92,2	UPD	2024-02-04
Diğer	0,87	UPD	2024-02-04
Takasbank Para Piyasası	4,4	UPD	2024-02-04
Mevduat (Döviz)	2,53	UPD	2024-02-04
Özel Sektör Dış Borçlanma Araçları	53,21	YJY	2024-02-04
Mevduat (TL)	0,39	YJY	2024-02-04
Kamu Dış Borçlanma Araçları	44,98	YJY	2024-02-04
Mevduat (Döviz)	1,42	YJY	2024-02-04
Ters-Repo	36,58	PAL	2024-02-04
Mevduat (TL)	0,04	PAL	2024-02-04
Mevduat (Döviz)	20,31	PAL	2024-02-04
Kamu Dış Borçlanma Araçları	0,48	PAL	2024-02-04
Özel Sektör Dış Borçlanma Araçları	14,05	PAL	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	1,24	PAL	2024-02-04
Döviz Cinsi Kamu İç Borçlanma Araçları	12,02	PAL	2024-02-04
Yatırım Fonları Katılma Payları	7,38	PAL	2024-02-04
Yabancı Kamu Borçlanma Araçları	7,9	PAL	2024-02-04
Yatırım Fonları Katılma Payları	98,65	OIL	2024-02-04
Diğer	1,35	OIL	2024-02-04
Yatırım Fonları Katılma Payları	80,33	ZPC	2024-02-04
Kıymetli Madenler Cinsinden BYF	0,06	ZPC	2024-02-04
Yabancı Hisse Senedi	6,72	ZPC	2024-02-04
Ters-Repo	0,33	ZPC	2024-02-04
Borsa Yatırım Fonları Katılma Payları	4,91	ZPC	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	1,23	ZPC	2024-02-04
Hisse Senedi	4,05	ZPC	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,37	ZPC	2024-02-04
Ters-Repo	59,82	DAS	2024-02-04
Yatırım Fonları Katılma Payları	2,35	DAS	2024-02-04
Özel Sektör Dış Borçlanma Araçları	20,49	DAS	2024-02-04
Mevduat (Döviz)	6,35	DAS	2024-02-04
Kamu Dış Borçlanma Araçları	10,99	DAS	2024-02-04
Yabancı Hisse Senedi	67,74	SUC	2024-02-04
Özel Sektör Kira Sertifikaları	1,48	SUC	2024-02-04
Hisse Senedi	16,94	SUC	2024-02-04
Takasbank Para Piyasası	3,35	SUC	2024-02-04
Diğer	5,5	SUC	2024-02-04
Finansman Bonosu	4,99	SUC	2024-02-04
Yatırım Fonları Katılma Payları	75,15	ARL	2024-02-04
Devlet Tahvili	0,02	ARL	2024-02-04
Yabancı Borsa Yatırım Fonları	7,12	ARL	2024-02-04
Borsa Yatırım Fonları Katılma Payları	0,03	ARL	2024-02-04
Özel Sektör Tahvili	6,74	ARL	2024-02-04
Gayrimenkul Yatırım Fonları Katılma Payları	0,55	ARL	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	5,79	ARL	2024-02-04
Takasbank Para Piyasası	2,23	ARL	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,37	ARL	2024-02-04
Katılma Hesabı (Döviz)	85,29	ZP9	2024-02-04
Diğer	0,14	ZP9	2024-02-04
Kamu Yurt Dışı Kira Sertifikaları	14,57	ZP9	2024-02-04
Hisse Senedi	60,35	AN1	2024-02-04
Yabancı Hisse Senedi	1,87	AN1	2024-02-04
Vadeli İşlemler Nakit Teminatları	13,97	AN1	2024-02-04
Takasbank Para Piyasası	11,57	AN1	2024-02-04
Diğer	12,24	AN1	2024-02-04
Yabancı Hisse Senedi	74,64	IZS	2024-02-04
Yabancı Borsa Yatırım Fonları	1,91	IZS	2024-02-04
Hisse Senedi	14,35	IZS	2024-02-04
Yatırım Fonları Katılma Payları	9,1	IZS	2024-02-04
Yatırım Fonları Katılma Payları	70,61	GZP	2024-02-04
Kamu Kira Sertifikaları (TL)	0,97	GZP	2024-02-04
Yabancı Borsa Yatırım Fonları	12,6	GZP	2024-02-04
Devlet Tahvili	4,47	GZP	2024-02-04
Vadeli İşlemler Nakit Teminatları	6,56	GZP	2024-02-04
Yabancı Hisse Senedi	4,78	GZP	2024-02-04
Hisse Senedi	38,31	GPU	2024-02-04
Varlığa Dayalı Menkul Kıymetler	1,91	GPU	2024-02-04
Yabancı Borsa Yatırım Fonları	13,92	GPU	2024-02-04
Mevduat (TL)	2,27	GPU	2024-02-04
Finansman Bonosu	12,42	GPU	2024-02-04
Özel Sektör Tahvili	3,73	GPU	2024-02-04
Kamu Dış Borçlanma Araçları	11,51	GPU	2024-02-04
Takasbank Para Piyasası	7,16	GPU	2024-02-04
Vadeli İşlemler Nakit Teminatları	8,77	GPU	2024-02-04
Yatırım Fonları Katılma Payları	88,62	YAC	2024-02-04
Hisse Senedi	0,03	YAC	2024-02-04
Yabancı Borsa Yatırım Fonları	8,03	YAC	2024-02-04
Mevduat (Döviz)	0,09	YAC	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,12	YAC	2024-02-04
Özel Sektör Tahvili	0,11	YAC	2024-02-04
Hisse Senedi	22,27	GPI	2024-02-04
Özel Sektör Kira Sertifikaları	0,75	GPI	2024-02-04
Kamu Dış Borçlanma Araçları	12,37	GPI	2024-02-04
Kamu Kira Sertifikaları (TL)	0,76	GPI	2024-02-04
Özel Sektör Tahvili	11,4	GPI	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları	1,45	GPI	2024-02-04
Vadeli İşlemler Nakit Teminatları	10,78	GPI	2024-02-04
Yatırım Fonları Katılma Payları	1,99	GPI	2024-02-04
Yabancı Borsa Yatırım Fonları	8,83	GPI	2024-02-04
Yabancı Hisse Senedi	3,08	GPI	2024-02-04
Finansman Bonosu	6,98	GPI	2024-02-04
Varlığa Dayalı Menkul Kıymetler	3,2	GPI	2024-02-04
Mevduat (TL)	5,83	GPI	2024-02-04
Devlet Tahvili	4,65	GPI	2024-02-04
Takasbank Para Piyasası	5,66	GPI	2024-02-04
Yatırım Fonları Katılma Payları	86,44	GMD	2024-02-04
Borsa Yatırım Fonları Katılma Payları	13,56	GMD	2024-02-04
Katılma Hesabı (Döviz)	96,79	KDL	2024-02-04
Yatırım Fonları Katılma Payları	0,02	KDL	2024-02-04
Özel Sektör Yurt Dışı Kira Sertifikaları	3,19	KDL	2024-02-04
Mevduat (Döviz)	62,06	OJB	2024-02-04
Takasbank Para Piyasası	0,02	OJB	2024-02-04
Katılma Hesabı (Döviz)	18,19	OJB	2024-02-04
Yatırım Fonları Katılma Payları	4,85	OJB	2024-02-04
Özel Sektör Dış Borçlanma Araçları	14,88	OJB	2024-02-04
Yatırım Fonları Katılma Payları	99,48	ACU	2024-02-04
Mevduat (TL)	0,52	ACU	2024-02-04
